code,occupation_table1,occupation_table2,similarity_percentage,match_ranking,method_used,threshold_used,similarity_semantic
006,Paramedics,Paramedic,100.0,1,semantic,0.3,100.0
006,Technician,Technician,100.0,1,semantic,0.3,100.0
012,Ambulance care assistant,Ambulance Care Assistant,100.0,1,semantic,0.3,100.0
004,Paramedics,Advanced Paramedic,95.25,2,semantic,0.3,95.25
006,Health visiting,Health Visitor,92.95,1,semantic,0.3,92.95
009,Physician assistant,Healthcare Assistant,92.27,1,semantic,0.3,92.27
004,Physician assistant,Healthcare Assistant,92.27,2,semantic,0.3,92.27
005,Physician assistant,Healthcare Assistant,92.27,3,semantic,0.3,92.27
007,Maintenance and estates,Estates (maintenance & works),90.56,3,semantic,0.3,90.56
002,Maintenance and estates,Estates (maintenance & works),90.56,1,semantic,0.3,90.56
008,Maintenance and estates,Estates (maintenance & works),90.56,2,semantic,0.3,90.56
007,Ambulance care assistant,Ambulance Technician / Associate Practitioner,90.01,2,semantic,0.3,90.01
001,Paramedics,Consultant Paramedic,87.94,3,semantic,0.3,87.94
001,Neonatal nursing,Nursery Nurse,87.17,1,semantic,0.3,87.17
001,Specialist nursing,Nurse Consultant,87.07,1,semantic,0.3,87.07
000a,Specialist nursing,Nursing Associate,86.52,2,semantic,0.3,86.52
001,Play specialists (nursery nurses),Nursery Nurse,86.33,1,semantic,0.3,86.33
009,School nursing,Qualified School Nurse,85.45,1,semantic,0.3,85.45
004,Specialist nursing,Nursing Assistant Practitioner,83.93,3,semantic,0.3,83.93
007,District nursing,District Nurse - 1st Level,83.14,1,semantic,0.3,83.14
004,Practice nursing,Nursing Assistant Practitioner,82.99,1,semantic,0.3,82.99
000a,Practice nursing,Nursing Associate,82.89,2,semantic,0.3,82.89
005,Neonatal midwifery,Midwives,82.58,1,semantic,0.3,82.58
005,Neonatal nursing,Children's Nurse,82.34,2,semantic,0.3,82.34
008,District nursing,District Nurse - 2nd Level,81.93,2,semantic,0.3,81.93
001,Practice nursing,Nurse Consultant,81.85,3,semantic,0.3,81.85
001,Staff nursery,Nursery Nurse,80.88,1,semantic,0.3,80.88
005,Community children's nursing,Children's Nurse,80.42,1,semantic,0.3,80.42
004,Ambulance care assistant,Healthcare Assistant,80.36,3,semantic,0.3,80.36
001,School nursing,Nursery Nurse,79.67,2,semantic,0.3,79.67
000a,District nursing,Nursing Associate,79.66,3,semantic,0.3,79.66
001,Treatment room nurses,Nurse Consultant,79.61,1,semantic,0.3,79.61
004,Treatment room nurses,Nurse Manager,78.31,2,semantic,0.3,78.31
005,Play specialists (nursery nurses),Children's Nurse,77.7,2,semantic,0.3,77.7
000a,School nursing,Nursing Associate,77.54,3,semantic,0.3,77.54
000a,Treatment room nurses,Nursing Associate,77.07,3,semantic,0.3,77.07
000a,Public health nursing,Nursing Associate,76.62,1,semantic,0.3,76.62
004,Public health nursing,Nursing Assistant Practitioner,76.45,2,semantic,0.3,76.45
007,Learning disabilities,Community Learning Disabilities Nurse - 1st Level,76.27,1,semantic,0.3,76.27
003,Clinical psychology and counselling,Therapist,74.43,1,semantic,0.3,74.43
005,Midwifery (exc neonatal),Midwives,74.26,1,semantic,0.3,74.26
004,Biomedical sciences life,Healthcare Scientist,74.01,1,semantic,0.3,74.01
003,Dental therapist,Therapist,73.64,1,semantic,0.3,73.64
001,Clinical psychology and counselling,Consultant Therapist / Scientist,73.63,2,semantic,0.3,73.63
001,Play specialists (nursery nurses),Nurse Consultant,73.09,3,semantic,0.3,73.09
001,Support to clinical staff,Consultant Therapist / Scientist,72.98,1,semantic,0.3,72.98
001,Public health nursing,Nurse Consultant,72.89,3,semantic,0.3,72.89
004,Biomedical sciences life,Scientist,72.51,2,semantic,0.3,72.51
001,Community children's nursing,Nursery Nurse,72.49,2,semantic,0.3,72.49
003,Operating department practitioners,Trainee Healthcare Science Practitioner,72.14,1,semantic,0.3,72.14
007,Community children's nursing,Community Mental Health Nurse - 1st Level,71.91,3,semantic,0.3,71.91
004,Clinical sciences physiology,Scientist,71.26,1,semantic,0.3,71.26
001,Support to clinical staff,Consultant Healthcare Scientist,71.08,2,semantic,0.3,71.08
005,Operating department practitioners,Specialist Healthcare Science Practitioner,70.79,2,semantic,0.3,70.79
004,Clinical sciences life,Healthcare Scientist,70.6,1,semantic,0.3,70.6
005,Operating department practitioners,Specialist Practitioner,70.5,3,semantic,0.3,70.5
009,Oral healthcare practitioners,Healthcare Assistant,70.44,1,semantic,0.3,70.44
004,Oral healthcare practitioners,Healthcare Assistant,70.44,2,semantic,0.3,70.44
005,Oral healthcare practitioners,Healthcare Assistant,70.44,3,semantic,0.3,70.44
001,Dental therapist,Consultant Therapist / Scientist,70.22,2,semantic,0.3,70.22
003,Physiotherapy,Therapist,69.94,1,semantic,0.3,69.94
005,Staff nursery,Children's Nurse,69.58,2,semantic,0.3,69.58
